week,region,mean_BT,min_BT,max_BT,week_start_date
1,North America,238.32662963867188,213.46600341796875,251.70211791992188,2025-01-01
1,South America,237.3881622314453,193.2283172607422,252.80062866210938,2025-01-01
1,Tropics,235.661376953125,183.0460968017578,257.828369140625,2025-01-01
1,Western Hemisphere,234.77133483886718,190.3975830078125,253.22311401367188,2025-01-01
2,North America,244.37945992606026,208.01577758789062,259.1380920410156,2025-01-08
2,South America,240.11046709333147,185.454345703125,256.7720947265625,2025-01-08
2,Tropics,239.40310668945312,185.454345703125,259.8985900878906,2025-01-08
2,Western Hemisphere,237.08447265625,185.454345703125,259.1380920410156,2025-01-08
3,North America,245.25813511439733,210.80426025390625,259.8140869140625,2025-01-15
3,South America,242.58939034598214,194.32681274414062,257.32135009765625,2025-01-15
3,Tropics,240.64174325125558,183.0460968017578,257.32135009765625,2025-01-15
3,Western Hemisphere,238.93289402553015,189.5103302001953,259.8140869140625,2025-01-15
4,North America,245.28899492536272,210.50851440429688,257.65936279296875,2025-01-22
4,South America,242.7382332938058,194.32681274414062,258.3353576660156,2025-01-22
4,Tropics,241.0701686314174,186.55284118652344,263.6165771484375,2025-01-22
4,Western Hemisphere,238.83558218819755,194.32681274414062,259.56060791015625,2025-01-22
5,North America,245.47291346958704,208.77627563476562,257.74383544921875,2025-01-29
5,South America,243.13738141741072,193.94656372070312,260.40557861328125,2025-01-29
5,Tropics,240.4893035888672,186.55284118652344,260.74359130859375,2025-01-29
5,Western Hemisphere,238.46026829310827,188.58084106445312,260.4900817871094,2025-01-29
6,North America,243.0303192138672,210.50851440429688,258.2508544921875,2025-02-05
6,South America,244.01524353027344,192.04531860351562,260.32110595703125,2025-02-05
6,Tropics,239.08081272670202,186.04583740234375,257.36358642578125,2025-02-05
6,Western Hemisphere,238.20824323381697,191.66506958007812,260.32110595703125,2025-02-05
7,North America,241.18455069405692,206.11453247070312,255.4623565673828,2025-02-12
7,South America,239.9468013218471,194.66481018066406,258.3775939941406,2025-02-12
7,Tropics,236.94388689313615,185.454345703125,259.8140869140625,2025-02-12
7,Western Hemisphere,235.43650817871094,190.3975830078125,258.3775939941406,2025-02-12
8,North America,241.5693817138672,207.46652221679688,253.39212036132812,2025-02-19
8,South America,238.64110456194197,188.1160888671875,253.98361206054688,2025-02-19
8,Tropics,237.8382350376674,186.55284118652344,261.46185302734375,2025-02-19
8,Western Hemisphere,235.92686898367745,188.1160888671875,255.71585083007812,2025-02-19
9,North America,242.5218789236886,193.2283172607422,255.75811767578125,2025-02-26
9,South America,241.3653281075614,188.58084106445312,258.67333984375,2025-02-26
9,Tropics,238.51851545061385,184.3135986328125,261.2083435058594,2025-02-26
9,Western Hemisphere,237.82992117745536,186.55284118652344,258.67333984375,2025-02-26
10,North America,242.0471409388951,195.0028076171875,256.89886474609375,2025-03-05
10,South America,240.64710562569755,186.55284118652344,255.2088623046875,2025-03-05
10,Tropics,235.44424874441964,184.90509033203125,259.4761047363281,2025-03-05
10,Western Hemisphere,237.7319837297712,185.454345703125,260.0675964355469,2025-03-05
11,North America,245.15353393554688,200.87554931640625,259.4761047363281,2025-03-12
11,South America,243.24165562220983,185.454345703125,262.98284912109375,2025-03-12
11,Tropics,236.05023847307478,182.37010192871094,259.6873474121094,2025-03-12
11,Western Hemisphere,238.64976719447546,185.454345703125,262.98284912109375,2025-03-12
12,North America,243.87726702008928,197.87579345703125,258.2508544921875,2025-03-19
12,South America,241.481929234096,187.10208129882812,257.32135009765625,2025-03-19
12,Tropics,237.34445190429688,183.6798553466797,257.65936279296875,2025-03-19
12,Western Hemisphere,237.2262943812779,184.90509033203125,258.2508544921875,2025-03-19
13,North America,241.55422973632812,194.32681274414062,259.0958557128906,2025-03-26
13,South America,237.8410884312221,187.10208129882812,257.110107421875,2025-03-26
13,Tropics,237.05899701799666,184.3135986328125,258.67333984375,2025-03-26
13,Western Hemisphere,236.0151127406529,187.10208129882812,260.1098327636719,2025-03-26
14,North America,241.7426496233259,196.31256103515625,257.7861022949219,2025-04-02
14,South America,239.27965654645647,186.55284118652344,259.4761047363281,2025-04-02
14,Tropics,234.92866734095983,186.55284118652344,254.74411010742188,2025-04-02
14,Western Hemisphere,236.0049830845424,186.55284118652344,260.5745849609375,2025-04-02
15,North America,241.50953892299108,187.27108764648438,256.6453552246094,2025-04-09
15,South America,239.53165980747767,183.38409423828125,259.349365234375,2025-04-09
15,Tropics,234.37950788225447,183.38409423828125,255.37786865234375,2025-04-09
15,Western Hemisphere,236.50558253696985,183.38409423828125,260.1943359375,2025-04-09
16,North America,242.2201167515346,202.988037109375,257.2368469238281,2025-04-16
16,South America,239.21962411063058,186.25709533691406,259.433837890625,2025-04-16
16,Tropics,237.18017360142298,183.97560119628906,254.23712158203125,2025-04-16
16,Western Hemisphere,235.95955548967635,183.97560119628906,259.98309326171875,2025-04-16
17,North America,245.02211216517858,212.40975952148438,258.41986083984375,2025-04-23
17,South America,239.47608947753906,187.77809143066406,261.3773498535156,2025-04-23
17,Tropics,236.677001953125,186.76409912109375,256.8143615722656,2025-04-23
17,Western Hemisphere,236.72976902553015,187.77809143066406,261.3773498535156,2025-04-23
18,North America,244.09301103864397,210.80426025390625,258.46209716796875,2025-04-30
18,South America,238.7478267124721,188.7498321533203,255.92710876464844,2025-04-30
18,Tropics,236.61361476353235,184.5670928955078,257.912841796875,2025-04-30
18,Western Hemisphere,236.5054975237165,187.77809143066406,258.46209716796875,2025-04-30
19,North America,243.61512756347656,211.94500732421875,255.9693603515625,2025-05-07
19,South America,238.70727757045202,185.7078399658203,253.85687255859375,2025-05-07
19,Tropics,237.91182381766183,185.7078399658203,256.0538635253906,2025-05-07
19,Western Hemisphere,236.74659293038505,185.7078399658203,257.9973449707031,2025-05-07
20,North America,243.80784170968192,211.6070098876953,259.0535888671875,2025-05-14
20,South America,238.60853576660156,186.25709533691406,257.9973449707031,2025-05-14
20,Tropics,236.6512712751116,185.7078399658203,256.4341125488281,2025-05-14
20,Western Hemisphere,236.2909916469029,185.7078399658203,259.0535888671875,2025-05-14
21,North America,243.2877938406808,209.3255157470703,258.50433349609375,2025-05-21
21,South America,238.5989750453404,185.7078399658203,255.67361450195312,2025-05-21
21,Tropics,237.34447152273995,185.15859985351562,257.6170959472656,2025-05-21
21,Western Hemisphere,237.03171866280692,185.15859985351562,259.5183410644531,2025-05-21
22,North America,243.3560049874442,209.15652465820312,257.912841796875,2025-05-28
22,South America,236.27779497419084,186.25709533691406,254.36386108398438,2025-05-28
22,Tropics,237.37013462611608,138.0500030517578,261.12384033203125,2025-05-28
22,Western Hemisphere,236.41517639160156,185.7078399658203,263.78558349609375,2025-05-28
23,North America,244.4488481794085,211.31124877929688,259.3070983886719,2025-06-04
23,South America,235.73658534458704,185.7078399658203,255.75811767578125,2025-06-04
23,Tropics,238.57134573800224,186.25709533691406,257.6170959472656,2025-06-04
23,Western Hemisphere,236.41536821637834,185.7078399658203,259.3070983886719,2025-06-04
24,North America,242.1436004638672,207.3397674560547,257.65936279296875,2025-06-11
24,South America,233.79835074288505,186.25709533691406,254.23712158203125,2025-06-11
24,Tropics,235.57315717424666,186.25709533691406,253.89910888671875,2025-06-11
24,Western Hemisphere,235.3511744907924,186.25709533691406,257.65936279296875,2025-06-11
25,North America,244.78016662597656,213.12799072265625,258.50433349609375,2025-06-18
25,South America,234.37506103515625,187.77809143066406,253.85687255859375,2025-06-18
25,Tropics,238.67674255371094,185.15859985351562,255.25111389160156,2025-06-18
25,Western Hemisphere,236.910404750279,185.15859985351562,258.7578430175781,2025-06-18
26,North America,242.90657479422433,207.88900756835938,264.3770751953125,2025-06-25
26,South America,233.84430585588728,187.77809143066406,251.49087524414062,2025-06-25
26,Tropics,238.43639264787947,187.27108764648438,256.6453552246094,2025-06-25
26,Western Hemisphere,235.9312482561384,187.27108764648438,265.4755859375,2025-06-25
27,North America,246.23132978166853,210.9732666015625,267.67254638671875,2025-07-02
27,South America,233.88292367117745,138.0500030517578,252.80062866210938,2025-07-02
27,Tropics,238.87772696358817,185.15859985351562,259.64508056640625,2025-07-02
27,Western Hemisphere,236.65678187779017,138.0500030517578,267.67254638671875,2025-07-02
28,North America,245.65081351143974,210.33950805664062,257.06787109375,2025-07-09
28,South America,235.63136509486608,186.76409912109375,253.05410766601562,2025-07-09
28,Tropics,240.18002101353235,186.76409912109375,259.64508056640625,2025-07-09
28,Western Hemisphere,236.71095275878906,186.76409912109375,261.9688415527344,2025-07-09
29,North America,246.63794599260603,209.4945068359375,263.236328125,2025-07-16
29,South America,238.3652103969029,187.27108764648438,257.4058532714844,2025-07-16
29,Tropics,243.23845999581474,183.38409423828125,258.3353576660156,2025-07-16
29,Western Hemisphere,237.68465314592635,187.27108764648438,263.36309814453125,2025-07-16
30,North America,245.96782793317522,211.48025512695312,260.40557861328125,2025-07-23
30,South America,236.15287126813615,187.77809143066406,258.7578430175781,2025-07-23
30,Tropics,240.06282697405135,187.77809143066406,260.40557861328125,2025-07-23
30,Western Hemisphere,237.08886064801897,187.77809143066406,261.12384033203125,2025-07-23
31,North America,244.11894880022322,212.70550537109375,262.5180969238281,2025-07-30
31,South America,235.49541364397322,187.27108764648438,252.9273681640625,2025-07-30
31,Tropics,238.60527692522322,188.7498321533203,262.5180969238281,2025-07-30
31,Western Hemisphere,236.3000749860491,187.27108764648438,262.5180969238281,2025-07-30
32,North America,245.28034319196428,212.83224487304688,264.75732421875,2025-08-06
32,South America,235.79103524344308,189.21458435058594,254.78636169433594,2025-08-06
32,Tropics,238.76441737583704,185.15859985351562,257.4481201171875,2025-08-06
32,Western Hemisphere,236.5436270577567,189.21458435058594,264.75732421875,2025-08-06
33,North America,245.85585457938058,210.17050170898438,260.9971008300781,2025-08-13
33,South America,234.89093235560827,189.21458435058594,253.01187133789062,2025-08-13
33,Tropics,238.2106715611049,186.76409912109375,261.3773498535156,2025-08-13
33,Western Hemisphere,236.7581045968192,189.21458435058594,260.9971008300781,2025-08-13
34,North America,247.86273193359375,207.3397674560547,262.1800842285156,2025-08-20
34,South America,235.65276445661272,187.77809143066406,254.95535278320312,2025-08-20
34,Tropics,238.4276362827846,186.25709533691406,256.8565979003906,2025-08-20
34,Western Hemisphere,237.35246058872767,185.7078399658203,262.1800842285156,2025-08-20
35,North America,246.04950823102678,210.80426025390625,261.0393371582031,2025-08-27
35,South America,235.2183554513114,188.2850799560547,252.88511657714844,2025-08-27
35,Tropics,240.0525883265904,186.76409912109375,260.02532958984375,2025-08-27
35,Western Hemisphere,236.85244750976562,188.2850799560547,265.9825744628906,2025-08-27
36,North America,245.91886683872767,210.50851440429688,260.2788391113281,2025-09-03
36,South America,234.87383815220423,185.15859985351562,252.42037963867188,2025-09-03
36,Tropics,237.7286376953125,184.5670928955078,258.88458251953125,2025-09-03
36,Western Hemisphere,236.98064313616072,185.15859985351562,260.2788391113281,2025-09-03
37,North America,247.9359348842076,214.98699951171875,260.4900817871094,2025-09-10
37,South America,236.6031995500837,186.76409912109375,255.25111389160156,2025-09-10
37,Tropics,239.0743887765067,186.76409912109375,259.3916015625,2025-09-10
37,Western Hemisphere,237.47871834891183,186.76409912109375,260.4900817871094,2025-09-10
38,North America,243.70806448800224,211.6070098876953,258.631103515625,2025-09-17
38,South America,234.2347412109375,185.15859985351562,254.53286743164062,2025-09-17
