date,region,mean_BT,min_BT,max_BT
2025-01-01,Western Hemisphere,243.8480987548828,193.20657348632807,263.1507873535156
2025-01-01,Tropics,241.7489318847656,185.03512573242188,259.4249267578125
2025-01-01,North America,248.1475524902344,213.9527282714844,259.4249267578125
2025-01-01,South America,247.89114379882807,194.2227020263672,263.1507873535156
2025-01-02,Western Hemisphere,243.16384887695312,197.9062042236328,263.489501953125
2025-01-02,Tropics,243.09120178222656,181.6903381347656,258.4511413574219
2025-01-02,North America,248.91021728515625,217.3822021484375,258.19708251953125
2025-01-02,South America,245.1324920654297,198.32960510253903,258.4511413574219
2025-01-03,Western Hemisphere,243.08653259277344,194.2227020263672,261.9652709960937
2025-01-03,Tropics,243.68386840820312,187.23675537109372,261.41485595703125
2025-01-03,North America,247.31072998046875,214.1644287109375,258.7474975585937
2025-01-03,South America,245.4916229248047,200.3195343017578,258.4511413574219
2025-01-04,Western Hemisphere,243.1678466796875,189.81944274902344,260.5680847167969
2025-01-04,Tropics,243.46116638183597,182.57945251464844,266.410888671875
2025-01-04,North America,247.8879547119141,213.74102783203125,259.678955078125
2025-01-04,South America,245.55604553222656,198.32960510253903,260.2293701171875
2025-01-05,Western Hemisphere,243.5604248046875,192.1480865478516,259.7213134765625
2025-01-05,Tropics,243.79852294921875,183.42623901367188,266.707275390625
2025-01-05,North America,249.80825805664065,216.5354156494141,259.7213134765625
2025-01-05,South America,246.3983917236328,192.1480865478516,259.0438842773437
2025-01-06,Western Hemisphere,243.88926696777344,190.4121856689453,262.76971435546875
2025-01-06,Tropics,245.76641845703125,184.23068237304688,267.9774169921875
2025-01-06,North America,250.90286254882807,213.2752990722656,261.287841796875
2025-01-06,South America,247.52664184570312,190.4121856689453,260.90679931640625
2025-01-07,Western Hemisphere,244.36412048339844,191.00494384765625,263.9552307128906
2025-01-07,Tropics,247.1832733154297,183.42623901367188,267.8080749511719
2025-01-07,North America,252.7244415283203,215.05355834960935,263.9552307128906
2025-01-07,South America,248.5943756103516,191.00494384765625,260.8221435546875
2025-01-08,Western Hemisphere,244.38229370117188,183.42623901367188,265.1407165527344
2025-01-08,Tropics,246.9665679931641,183.42623901367188,268.44317626953125
2025-01-08,North America,253.19761657714844,211.07366943359372,265.1407165527344
2025-01-08,South America,247.0789337158203,183.42623901367188,259.59429931640625
2025-01-09,Western Hemisphere,245.24229431152344,193.20657348632807,265.5217590332031
2025-01-09,Tropics,246.5708770751953,187.23675537109372,269.3746337890625
2025-01-09,North America,253.41053771972656,211.32769775390625,265.0137023925781
2025-01-09,South America,247.07073974609372,193.20657348632807,260.271728515625
2025-01-10,Western Hemisphere,245.32778930664065,196.17030334472656,267.5540466308594
2025-01-10,Tropics,246.3746490478516,185.79722595214844,269.7133178710937
2025-01-10,North America,254.18423461914065,207.30548095703125,263.06610107421875
2025-01-10,South America,247.1162872314453,200.3195343017578,266.02984619140625
2025-01-11,Western Hemisphere,247.00070190429688,185.79722595214844,267.4693603515625
2025-01-11,Tropics,248.91026306152344,184.23068237304688,267.34234619140625
2025-01-11,North America,256.0628662109375,209.80349731445312,267.4693603515625
2025-01-11,South America,249.49380493164065,193.71463012695312,267.34234619140625
2025-01-12,Western Hemisphere,248.8674774169922,194.2227020263672,269.3746337890625
2025-01-12,Tropics,249.85435485839844,184.23068237304688,267.5540466308594
2025-01-12,North America,257.5874938964844,207.60186767578125,269.3746337890625
2025-01-12,South America,253.0294342041016,201.4626922607422,264.8866882324219
2025-01-13,Western Hemisphere,248.71414184570312,198.32960510253903,270.05206298828125
2025-01-13,Tropics,249.71673583984372,181.6903381347656,266.4955444335937
2025-01-13,North America,257.35516357421875,216.15435791015625,270.05206298828125
2025-01-13,South America,252.76516723632807,204.21473693847656,265.6064453125
2025-01-14,Western Hemisphere,248.43067932128903,187.9141845703125,269.24761962890625
2025-01-14,Tropics,248.9937438964844,185.03512573242188,266.1991882324219
2025-01-14,North America,256.2861633300781,215.05355834960935,268.4008178710937
2025-01-14,South America,252.2541656494141,199.1763916015625,266.1991882324219
2025-01-15,Western Hemisphere,247.8262481689453,196.17030334472656,267.8080749511719
2025-01-15,Tropics,249.2030334472656,187.23675537109372,265.31005859375
2025-01-15,North America,254.53399658203125,211.32769775390625,267.63873291015625
2025-01-15,South America,251.42710876464844,197.4828186035156,265.31005859375
2025-01-16,Western Hemisphere,247.7368927001953,195.19650268554688,269.5439758300781
2025-01-16,Tropics,248.75379943847656,186.5169982910156,266.6225891113281
2025-01-16,North America,252.69602966308597,210.56561279296875,267.9774169921875
2025-01-16,South America,251.70901489257807,195.19650268554688,264.802001953125
2025-01-17,Western Hemisphere,247.3121032714844,194.73077392578125,268.6125183105469
2025-01-17,Tropics,248.6983642578125,189.18435668945312,267.5540466308594
2025-01-17,North America,252.8767547607422,210.56561279296875,267.4693603515625
2025-01-17,South America,250.6338348388672,194.73077392578125,264.2515869140625
2025-01-18,Western Hemisphere,246.8212890625,197.9062042236328,269.20526123046875
2025-01-18,Tropics,248.9397125244141,189.81944274902344,265.0137023925781
2025-01-18,North America,254.7222595214844,212.8095703125,269.20526123046875
2025-01-18,South America,249.5101318359375,197.9062042236328,262.5580444335937
2025-01-19,Western Hemisphere,247.6031646728516,199.55743408203125,268.6125183105469
2025-01-19,Tropics,249.75840759277344,195.19650268554688,266.9189453125
2025-01-19,North America,254.88304138183597,211.07366943359372,267.9774169921875
2025-01-19,South America,251.96759033203125,201.84375,264.42095947265625
2025-01-20,Western Hemisphere,247.7845458984375,197.4828186035156,268.90887451171875
