date,region,mean_BT,min_BT,max_BT
2025-01-01 00:00:00,Western Hemisphere,252.1680908203125,193.6617431640625,273.18511962890625
2025-01-01 00:00:00,Tropics,249.2668609619141,185.380126953125,269.9423217773437
2025-01-01 00:00:00,North America,258.8638610839844,214.06640625,269.9423217773437
2025-01-01 00:00:00,South America,256.491455078125,194.6096343994141,273.18511962890625
2025-01-02 00:00:00,Western Hemisphere,251.3233337402344,198.00210571289065,270.5409545898437
2025-01-02 00:00:00,Tropics,250.71484375,180.7903289794922,268.7449645996094
2025-01-02 00:00:00,North America,259.79693603515625,218.20721435546875,268.7449645996094
2025-01-02 00:00:00,South America,253.39610290527344,198.30142211914065,269.24383544921875
2025-01-03 00:00:00,Western Hemisphere,251.27024841308597,194.310302734375,270.09197998046875
2025-01-03 00:00:00,Tropics,251.2457275390625,187.52536010742188,267.5975341796875
2025-01-03 00:00:00,North America,257.9076232910156,214.96441650390625,268.695068359375
2025-01-03 00:00:00,South America,253.73434448242188,200.2969970703125,266.69952392578125
2025-01-04 00:00:00,Western Hemisphere,251.3313140869141,189.9200439453125,269.0941772460937
2025-01-04 00:00:00,Tropics,250.68370056152344,182.93556213378903,271.5886535644531
2025-01-04 00:00:00,North America,258.6568908691406,214.2160797119141,268.7948608398437
2025-01-04 00:00:00,South America,253.5708923339844,198.80032348632807,268.0465087890625
2025-01-05 00:00:00,Western Hemisphere,251.68634033203125,193.3623962402344,269.0941772460937
2025-01-05 00:00:00,Tropics,250.4516143798828,183.933349609375,273.0354309082031
2025-01-05 00:00:00,North America,260.1289367675781,217.1595458984375,269.0941772460937
2025-01-05 00:00:00,South America,254.41683959960935,193.3623962402344,267.29815673828125
2025-01-06 00:00:00,Western Hemisphere,252.15284729003903,191.3668365478516,270.6906433105469
2025-01-06 00:00:00,Tropics,252.86346435546875,184.88124084472656,273.9334411621094
2025-01-06 00:00:00,North America,261.130615234375,213.51763916015625,270.5409545898437
2025-01-06 00:00:00,South America,255.6980438232422,191.3668365478516,266.0010681152344
2025-01-07 00:00:00,Western Hemisphere,252.41326904296875,193.01318359375,271.1396484375
2025-01-07 00:00:00,Tropics,254.789306640625,184.43223571777344,274.2327880859375
2025-01-07 00:00:00,North America,262.3734741210937,216.21163940429688,271.1396484375
2025-01-07 00:00:00,South America,257.2133178710937,193.01318359375,267.8968505859375
2025-01-08 00:00:00,Western Hemisphere,252.02183532714844,184.88124084472656,272.736083984375
2025-01-08 00:00:00,Tropics,254.2119903564453,184.88124084472656,274.731689453125
2025-01-08 00:00:00,North America,262.2034912109375,211.1229553222656,271.18951416015625
2025-01-08 00:00:00,South America,255.0746154785156,184.88124084472656,265.3026123046875
2025-01-09 00:00:00,Western Hemisphere,252.8664703369141,193.3623962402344,273.78375244140625
2025-01-09 00:00:00,Tropics,253.41734313964844,187.974365234375,276.9766845703125
2025-01-09 00:00:00,North America,262.2663269042969,211.77151489257807,271.6385498046875
2025-01-09 00:00:00,South America,254.626220703125,193.3623962402344,268.7449645996094
2025-01-10 00:00:00,Western Hemisphere,252.6651611328125,196.35574340820312,274.1828918457031
2025-01-10 00:00:00,Tropics,252.99185180664065,186.27813720703125,275.8292236328125
2025-01-10 00:00:00,North America,262.7442626953125,207.68060302734372,270.74053955078125
2025-01-10 00:00:00,South America,254.88375854492188,201.24490356445312,273.0354309082031
2025-01-11 00:00:00,Western Hemisphere,254.09869384765625,186.27813720703125,274.731689453125
2025-01-11 00:00:00,Tropics,255.90187072753903,184.43223571777344,274.88134765625
2025-01-11 00:00:00,North America,264.0595703125,210.62405395507807,274.731689453125
2025-01-11 00:00:00,South America,256.8280944824219,195.50762939453125,274.63189697265625
2025-01-12 00:00:00,Western Hemisphere,255.86892700195312,194.90896606445312,275.57977294921875
2025-01-12 00:00:00,Tropics,256.6718444824219,184.88124084472656,273.78375244140625
2025-01-12 00:00:00,North America,265.2347106933594,208.02981567382807,275.57977294921875
2025-01-12 00:00:00,South America,260.2313537597656,201.4943389892578,271.88800048828125
2025-01-13 00:00:00,Western Hemisphere,255.79049682617188,198.80032348632807,275.77935791015625
2025-01-13 00:00:00,Tropics,256.1431579589844,181.8878936767578,274.78155517578125
2025-01-13 00:00:00,North America,265.3680725097656,217.55865478515625,275.57977294921875
2025-01-13 00:00:00,South America,259.3356628417969,205.18614196777344,273.3846435546875
2025-01-14 00:00:00,Western Hemisphere,255.690185546875,189.121826171875,275.5299072265625
2025-01-14 00:00:00,Tropics,255.5797119140625,184.88124084472656,274.731689453125
2025-01-14 00:00:00,North America,264.3857727050781,215.2637634277344,274.5820007324219
2025-01-14 00:00:00,South America,259.2259521484375,200.2969970703125,274.5820007324219
2025-01-15 00:00:00,Western Hemisphere,255.2105255126953,197.50320434570312,274.43231201171875
2025-01-15 00:00:00,Tropics,256.9293518066406,188.37347412109372,271.9877624511719
2025-01-15 00:00:00,North America,262.589599609375,211.47216796875,274.13299560546875
2025-01-15 00:00:00,South America,258.6006164550781,198.30142211914065,271.9877624511719
2025-01-16 00:00:00,Western Hemisphere,255.31475830078125,195.80697631835935,275.1307983398437
2025-01-16 00:00:00,Tropics,256.9640808105469,187.12625122070312,274.033203125
2025-01-16 00:00:00,North America,260.87762451171875,210.62405395507807,274.033203125
2025-01-16 00:00:00,South America,259.42047119140625,197.50320434570312,272.287109375
2025-01-17 00:00:00,Western Hemisphere,255.0397491455078,196.10630798339844,274.13299560546875
2025-01-17 00:00:00,Tropics,257.2483825683594,189.121826171875,273.883544921875
2025-01-17 00:00:00,North America,261.4344482421875,210.47439575195312,273.883544921875
